Country,Region,AFU_Members,Total_Universities,Penetration_Pct,Latitude,Longitude
United States,North America,106,4773,2.22,37.09,-95.71
Canada,North America,11,383,2.87,56.13,-106.35
Ireland,Europe,9,26,34.62,53.41,-8.24
United Kingdom,Europe,2,160,1.25,55.37,-3.43
Portugal,Europe,2,35,5.71,39.39,-8.22
Spain,Europe,2,83,2.41,40.46,-3.74
Croatia,Europe,1,10,10.0,45.1,15.2
Czech Republic,Europe,1,26,3.85,49.81,15.47
Hungary,Europe,1,22,4.55,47.16,19.5
Israel,Europe,1,25,4.0,31.04,34.85
Slovakia,Europe,1,20,5.0,48.66,19.69
Slovenia,Europe,1,5,20.0,46.15,14.99
Switzerland,Europe,1,12,8.33,46.81,8.22
South Korea,Asia,3,401,0.75,35.9,127.76
China,Asia,1,3167,0.03,35.86,104.19
Philippines,Asia,1,366,0.27,12.87,121.77
Hong Kong SAR,Asia,1,10,10.0,22.39,114.1
Australia,Oceania,2,43,4.65,-25.27,133.77
Brazil,South America,3,1264,0.24,-14.23,-51.92
Chile,South America,2,60,3.33,-35.67,-71.54
Ghana,Africa (Unofficial),1,80,1.25,7.95,-1.02
